concept	facet	property
commercial agent	characteristics	trustworthy
commercial agent	characteristics	experienced
commercial agent	characteristics	knowledgeable
commercial agent	involves	buying and selling
commercial agent	involves	negotiating prices
commercial agent	involves	arranging deals
canal system	purpose	water transportation
canal system	purpose	irrigation
canal system	purpose	recreation
canal system	type	natural
canal system	type	man-made
canal system	type	lock-based
canal system	features	locks
canal system	features	dams
canal system	features	tunnels
canal system	location	europe
canal system	location	asia
canal system	location	north america
canal system	location	china
canal system	length	long
canal system	length	short
canal system	economic impact	boosts economy
canal system	economic impact	creates jobs
canal system	economic impact	increases trade
canal system	history	ancient
canal system	history	modern
canal system	history	developing
canal system	environmental impact	pollution
canal system	environmental impact	ecological damage
canal system	environmental impact	conservation
private railcar	purpose	luxurious travel
private railcar	purpose	business meetings
private railcar	purpose	special events
private railcar	features	large windows
private railcar	features	comfortable seating
private railcar	features	kitchen
private railcar	features	bathroom
private railcar	size	small
private railcar	size	large
private railcar	luxury level	high-end
private railcar	luxury level	basic
private railcar	used by	celebrities
private railcar	used by	businessmen
private railcar	used by	royalty
private railcar	location	train
private railcar	location	station
private railcar	location	event
head end car	function	last car in a train
head end car	function	car with controls
head end car	components	engine
head end car	components	brakes
head end car	components	controls panel
head end car	size	larger than other cars
head end car	location	rear of the train
head end car	location	at the front of the train
head end car	purpose	to control the train
head end car	purpose	to provide braking power
head end car	features	stronger brakes
head end car	features	more powerful engine
head end car	associated with	train
head end car	associated with	railway
head end car	associated with	transportation
electrified railway	purpose	transportation
electrified railway	purpose	efficient
electrified railway	purpose	environmentally friendly
electrified railway	technology	electric power
electrified railway	technology	overhead wires
electrified railway	technology	electrified tracks
electrified railway	components	locomotive
electrified railway	components	carriage
electrified railway	components	electric motor
electrified railway	location	city
electrified railway	location	country
electrified railway	location	highway
electrified railway	benefits	reduced noise
electrified railway	benefits	reduced pollution
electrified railway	benefits	increased speed
electrified railway	history	developed in 19th century
electrified railway	history	improved in 20th century
electrified railway	maintenance	regular maintenance
electrified railway	maintenance	electric maintenance
mass measure	type	weight
mass measure	type	size
mass measure	type	amount
mass measure	unit	gram
mass measure	unit	kilogram
mass measure	unit	ton
mass measure	unit	ounce
mass measure	unit	pound
mass measure	precision	precise
mass measure	precision	approximate
mass measure	application	science
mass measure	application	everyday life
mass measure	application	business
mass measure	example	1 kg
mass measure	example	500 g
mass measure	example	1 tonne
mass measure	conversion	convertible
mass measure	conversion	non-convertible
mass measure	usage	measuring
mass measure	usage	weighing
mass measure	usage	calculating
paved runway	function	landing
paved runway	function	takeoff
paved runway	function	aircraft movement
paved runway	material	asphalt
paved runway	material	concrete
paved runway	width	sufficient for aircraft
paved runway	length	long enough for takeoff
paved runway	safety feature	lights
paved runway	safety feature	signs
paved runway	safety feature	emergency response plan
paved runway	maintenance	regularly cleaned
paved runway	maintenance	periodically resurfaced
paved runway	environmental impact	minimized noise
paved runway	environmental impact	minimized pollution
petroleum product pipeline	function	transporting oil
petroleum product pipeline	function	gas
petroleum product pipeline	function	refined products
petroleum product pipeline	material	steel
petroleum product pipeline	material	plastic
petroleum product pipeline	location	underground
petroleum product pipeline	location	above ground
petroleum product pipeline	length	long distance
petroleum product pipeline	diameter	large
petroleum product pipeline	maintenance	regular
petroleum product pipeline	maintenance	critical
petroleum product pipeline	risks	leakage
petroleum product pipeline	risks	rupture
petroleum product pipeline	risks	environmental damage
petroleum product pipeline	uses	energy production
petroleum product pipeline	uses	transportation
petroleum product pipeline	uses	industry
petroleum product pipeline	security	protected
petroleum product pipeline	security	vulnerable
flight schedule	type	timetable
flight schedule	type	travel plan
flight schedule	type	aviation schedule
flight schedule	format	digital
flight schedule	format	printed
flight schedule	contents	flight numbers
flight schedule	contents	departure and arrival times
flight schedule	contents	aircraft types
flight schedule	contents	route information
flight schedule	purpose	helping travelers plan
flight schedule	purpose	ensuring punctuality
flight schedule	purpose	managing airline operations
flight schedule	generated by	airline staff
flight schedule	generated by	computer system
flight schedule	generated by	travel agent
flight schedule	updated regularly	yes
flight schedule	updated regularly	daily
flight schedule	updated regularly	weekly
fixed bridge	type	permanent
fixed bridge	type	structure
fixed bridge	purpose	connecting land
fixed bridge	purpose	crossing water
fixed bridge	design	arch
fixed bridge	design	beam
fixed bridge	material	steel
fixed bridge	material	concrete
fixed bridge	material	wood
fixed bridge	location	river
fixed bridge	location	ocean
fixed bridge	location	land
fixed bridge	location	city
fixed bridge	features	supports traffic
fixed bridge	features	has pillars
fixed bridge	features	has lanes
turbojet engine	type	jet engine
turbojet engine	type	aerospace
turbojet engine	type	aircraft
turbojet engine	working principle	combustion
turbojet engine	working principle	exhaust gases
turbojet engine	working principle	high-speed airflow
turbojet engine	components	compressor
turbojet engine	components	combustion chamber
turbojet engine	components	turbine
turbojet engine	components	nozzle
turbojet engine	function	generates thrust
turbojet engine	function	powers aircraft
turbojet engine	advantages	high power-to-weight ratio
turbojet engine	advantages	efficient
turbojet engine	advantages	fast
turbojet engine	disadvantages	noisy
turbojet engine	disadvantages	polluting
turbojet engine	disadvantages	complex
turbojet engine	used in	commercial airliners
turbojet engine	used in	military aircraft
turbojet engine	used in	spacecraft
turbojet engine	history	developed in 1930s
turbojet engine	history	improved in 1950s
whaling ship	purpose	hunting whales
whaling ship	purpose	processing whale products
whaling ship	size	large
whaling ship	size	multiple masts
whaling ship	materials	wood
whaling ship	materials	iron
whaling ship	era	19th century
whaling ship	era	historical
whaling ship	features	sail
whaling ship	features	anchors
whaling ship	features	cannons
whaling ship	function	whale hunting
whaling ship	function	processing
whaling ship	function	transportation
whaling ship	location	ocean
whaling ship	location	coastal waters
whaling ship	location	arctic
guiding	purpose	providing direction
guiding	purpose	showing the way
guiding	method	using a map
guiding	method	asking for directions
guiding	method	using gps
guiding	source	experienced person
guiding	source	expert
guiding	source	authoritative figure
guiding	context	traveling
guiding	context	lost
guiding	context	new place
guiding	benefit	reducing uncertainty
guiding	benefit	increasing confidence
guiding	tools	compass
guiding	tools	map
guiding	tools	gps device
bulkhead	function	seals
bulkhead	function	divides
bulkhead	function	provides barrier
bulkhead	material	metal
bulkhead	material	plastic
bulkhead	material	wood
bulkhead	location	ship
bulkhead	location	building
bulkhead	location	aircraft
bulkhead	purpose	prevents flooding
bulkhead	purpose	contains pressure
bulkhead	purpose	separates spaces
bulkhead	design	watertight
bulkhead	design	fire-resistant
bulkhead	design	reinforced
bulkhead	construction	built-in
bulkhead	construction	bolted-on
bulkhead	construction	welded-on
deck crane	type	marine
deck crane	type	heavy-lifting
deck crane	function	lifting
deck crane	function	moving
deck crane	function	placing
deck crane	characteristics	large
deck crane	characteristics	heavy
deck crane	characteristics	powerful
deck crane	components	boom
deck crane	components	winch
deck crane	components	cable
deck crane	uses	building ships
deck crane	uses	repairing ships
deck crane	uses	loading cargo
deck crane	operated by	skilled operators
deck crane	operated by	mechanics
deck crane	operated by	marine engineers
deck crane	found in	shipyards
deck crane	found in	ports
deck crane	found in	offshore oil platforms
electronic signalling	type	digital
electronic signalling	type	analog
electronic signalling	medium	wire
electronic signalling	medium	air
electronic signalling	medium	fiber optic
electronic signalling	speed	high
electronic signalling	speed	low
electronic signalling	range	short
electronic signalling	range	long
electronic signalling	used for	communication
electronic signalling	used for	control
electronic signalling	used for	data transfer
electronic signalling	characteristics	reliable
electronic signalling	characteristics	unreliable
electronic signalling	examples	telephone signal
electronic signalling	examples	internet signal
electronic signalling	examples	radio signal
sea lane	definition	navigable waterway
sea lane	definition	route for ships
sea lane	function	allowing ships to travel
sea lane	function	reducing risk of collisions
sea lane	function	increasing trade
sea lane	features	buoys
sea lane	features	lights
sea lane	features	marks
sea lane	regulation	defined by international law
sea lane	regulation	regulated by coastal authorities
sea lane	importance	critical for global trade
sea lane	importance	increasingly important for energy transport
sea lane	types	fairway
sea lane	types	channel
sea lane	types	strait
canal lock gate	function	regulate water level
canal lock gate	function	allow boat passage
canal lock gate	function	control water flow
canal lock gate	structure	hinged
canal lock gate	structure	movable
canal lock gate	structure	metal
canal lock gate	operation	lifted
canal lock gate	operation	lowered
canal lock gate	operation	pumped
canal lock gate	location	canal
canal lock gate	location	waterway
canal lock gate	location	harbor
canal lock gate	size	large
canal lock gate	size	small
canal lock gate	material	steel
canal lock gate	material	iron
canal lock gate	movement	manual
canal lock gate	movement	mechanical
canal lock gate	movement	hydraulic
signalling	communication method	verbal
signalling	communication method	non-verbal
signalling	type of signal	traffic signal
signalling	type of signal	stop sign
signalling	type of signal	alarm
signalling	purpose	informing
signalling	purpose	warning
signalling	purpose	directing
signalling	medium	light
signalling	medium	sound
signalling	medium	text
signalling	receiver	driver
signalling	receiver	pedestrian
signalling	receiver	reader
signalling	context	road
signalling	context	battlefield
signalling	context	computer network
port crane	function	lifting
port crane	function	moving
port crane	function	storing
port crane	size	large
port crane	size	heavy
port crane	size	towering
port crane	material	steel
port crane	material	metal
port crane	structure	fixed
port crane	structure	movable
port crane	used for	loading
port crane	used for	unloading
port crane	used for	shipping
port crane	location	port
port crane	location	harbor
port crane	location	dock
port crane	operation	mechanical
port crane	operation	electrical
port crane	operation	hydraulic
river port	function	shipping
river port	function	trade
river port	function	transportation
river port	location	near river
river port	location	waterfront
river port	location	coastal
river port	facilities	docks
river port	facilities	warehouses
river port	facilities	cranes
river port	activities	loading
river port	activities	unloading
river port	activities	storage
river port	type	commercial
river port	type	industrial
river port	type	tourist
river port	features	locks
river port	features	canals
river port	features	waterways
military watercraft	type	ship
military watercraft	type	boat
military watercraft	type	submarine
military watercraft	size	large
military watercraft	size	small
military watercraft	size	medium
military watercraft	purpose	transport
military watercraft	purpose	attack
military watercraft	purpose	defend
military watercraft	purpose	patrol
military watercraft	armament	gun
military watercraft	armament	missile
military watercraft	armament	torpedo
military watercraft	speed	fast
military watercraft	speed	slow
military watercraft	range	long
military watercraft	range	short
military watercraft	used for	warfare
military watercraft	used for	peacekeeping
military watercraft	used for	search and rescue
military watercraft	located at	port
military watercraft	located at	sea
military watercraft	located at	ocean
military watercraft	located at	coast
vehicle crew	role	driver
vehicle crew	role	mechanic
vehicle crew	role	passenger
vehicle crew	skill	driving
vehicle crew	skill	maintenance
vehicle crew	skill	navigation
vehicle crew	equipment	vehicle
vehicle crew	equipment	tools
vehicle crew	equipment	communication device
vehicle crew	workplace	road
vehicle crew	workplace	garage
vehicle crew	workplace	port
vehicle crew	responsibility	safety
vehicle crew	responsibility	maintenance
vehicle crew	responsibility	route planning
vehicle crew	communication	verbal
vehicle crew	communication	written
vehicle crew	communication	radio
vehicle crew	training	licensing
vehicle crew	training	certification
vehicle crew	training	on-the-job training
moving violation	type of infraction	speeding
moving violation	type of infraction	reckless driving
moving violation	type of infraction	failure to yield
moving violation	location	road
moving violation	location	highway
moving violation	location	interstate
moving violation	violation of	traffic laws
moving violation	violation of	speed limits
moving violation	violation of	rules of the road
moving violation	consequences	fine
moving violation	consequences	points on license
moving violation	consequences	suspension of license
moving violation	circumstances	during rush hour
moving violation	circumstances	in a school zone
moving violation	circumstances	at night
moving violation	penalty	fines
moving violation	penalty	court appearance
moving violation	penalty	community service
radar facility	purpose	monitoring weather
radar facility	purpose	detecting aircraft
radar facility	purpose	tracking targets
radar facility	technology	radio waves
radar facility	technology	antennae
radar facility	technology	computerized systems
radar facility	components	transmitter
radar facility	components	receiver
radar facility	components	antenna
radar facility	components	processing unit
radar facility	location	airports
radar facility	location	military bases
radar facility	location	weather stations
radar facility	range	short-range
radar facility	range	long-range
radar facility	operational mode	continuous operation
radar facility	operational mode	manual operation
radar facility	maintenance	regular maintenance
radar facility	maintenance	software updates
electric motor	function	generates torque
electric motor	function	converts electrical energy
electric motor	type	dc
electric motor	type	ac
electric motor	type	stepper
electric motor	type	brushless
electric motor	components	coil
electric motor	components	magnet
electric motor	components	brush
electric motor	components	commutator
electric motor	application	electric vehicles
electric motor	application	industrial machinery
electric motor	application	home appliances
electric motor	application	wind turbines
electric motor	efficiency	high
electric motor	efficiency	low
electric motor	speed	variable
electric motor	speed	constant
electric motor	control	manual
electric motor	control	automatic
broad gauge railway	railway type	heavy rail
broad gauge railway	railway type	freight rail
broad gauge railway	railway type	passenger rail
broad gauge railway	track gauge	broad gauge
broad gauge railway	track gauge	wide gauge
broad gauge railway	track gauge	standard gauge
broad gauge railway	used for	passenger transport
broad gauge railway	used for	freight transport
broad gauge railway	used for	tourist attraction
broad gauge railway	characteristics	larger track width
broad gauge railway	characteristics	more stable
broad gauge railway	characteristics	better for heavy loads
broad gauge railway	historical significance	early railway technology
broad gauge railway	historical significance	important for industrial development
broad gauge railway	historical significance	used in many countries
broad gauge railway	current use	still used in many countries
broad gauge railway	current use	being replaced by standard gauge
broad gauge railway	current use	preserved for historical purposes
lighter	purpose	igniting fires
lighter	purpose	lighting cigarettes
lighter	material	metal
lighter	material	plastic
lighter	mechanism	flint and steel
lighter	mechanism	spark
lighter	mechanism	butane
lighter	size	small
lighter	size	portable
lighter	usage	outdoor
lighter	usage	indoor
lighter	usage	recreational
lighter	brand	zippo
lighter	brand	bic
lighter	brand	colibri
lighter	features	refillable
lighter	features	windproof
lighter	features	reliable
material handling equipment	type	forklift
material handling equipment	type	pallet jack
material handling equipment	type	crane
material handling equipment	type	conveyor belt
material handling equipment	function	lifting
material handling equipment	function	moving
material handling equipment	function	storing
material handling equipment	function	transferring
material handling equipment	usage	industrial
material handling equipment	usage	commercial
material handling equipment	usage	warehouse
material handling equipment	usage	factory
material handling equipment	size	large
material handling equipment	size	medium
material handling equipment	size	small
material handling equipment	size	portable
material handling equipment	operation	manual
material handling equipment	operation	mechanical
material handling equipment	operation	electrical
material handling equipment	operation	hydraulic
material handling equipment	safety feature	braking system
material handling equipment	safety feature	stabilizer
material handling equipment	safety feature	load capacity
material handling equipment	safety feature	emergency stop
gallery car	purpose	transportation
gallery car	purpose	entertainment
gallery car	purpose	advertising
gallery car	type	train
gallery car	type	tram
gallery car	capacity	seating
gallery car	capacity	standing
gallery car	features	comfortable seating
gallery car	features	air conditioning
gallery car	features	food and beverage service
gallery car	routes	urban
gallery car	routes	tourist attractions
gallery car	routes	special events
gallery car	operator	public transportation
gallery car	operator	private company
gallery car	operator	non-profit organization
gallery car	destination	station
gallery car	destination	terminal
gallery car	destination	event location
light fixture	function	provides light
light fixture	function	illuminates space
light fixture	type	lamp
light fixture	type	chandelier
light fixture	type	sconce
light fixture	material	metal
light fixture	material	glass
light fixture	material	plastic
light fixture	purpose	decorative
light fixture	purpose	practical
light fixture	location	ceiling
light fixture	location	table
light fixture	location	wall
light fixture	power source	electric
light fixture	power source	battery
light fixture	power source	solar
water area	type	ocean
water area	type	lake
water area	type	river
water area	type	pond
water area	type	sea
water area	size	large
water area	size	small
water area	location	earth
water area	location	planet
water area	location	surface
water area	location	underground
water area	function	drinking water
water area	function	recreation
water area	function	shipping
water area	function	fishing
water area	characteristics	blue
water area	characteristics	wavy
water area	characteristics	deep
water area	characteristics	shallow
water area	used for	drinking
water area	used for	swimming
water area	used for	fishing
water area	used for	boating
water area	features	coastline
water area	features	shore
water area	features	beach
water area	features	reef
fish factory ship	function	catching fish
fish factory ship	function	processing fish
fish factory ship	function	fishing
fish factory ship	size	large
fish factory ship	size	massive
fish factory ship	location	ocean
fish factory ship	location	sea
fish factory ship	location	coast
fish factory ship	equipment	nets
fish factory ship	equipment	traps
fish factory ship	equipment	processors
fish factory ship	staff	fishermen
fish factory ship	staff	processors
fish factory ship	staff	captain
fish factory ship	purpose	to provide food
fish factory ship	purpose	for commercial use
fish factory ship	purpose	for recreational use
canal lock	purpose	raising water level
canal lock	purpose	lowering water level
canal lock	purpose	connecting canals
canal lock	mechanism	water chamber
canal lock	mechanism	gates
canal lock	mechanism	pumps
canal lock	location	canal
canal lock	location	waterway
canal lock	location	harbor
canal lock	operation	manual
canal lock	operation	automatic
canal lock	types	single lock
canal lock	types	double lock
canal lock	types	flight of locks
canal lock	history	ancient
canal lock	history	modern
canal lock	features	water level control
canal lock	features	water flow control
transit stop	type	bus stop
transit stop	type	train station
transit stop	type	subway station
transit stop	location	street corner
transit stop	location	side of highway
transit stop	location	inside airport
transit stop	purpose	pick up passengers
transit stop	purpose	drop off passengers
transit stop	purpose	provide transfer
transit stop	features	bus shelter
transit stop	features	platform
transit stop	features	information board
transit stop	accessibility	wheelchair accessible
transit stop	accessibility	elevated
transit stop	accessibility	underground
transit stop	services	public transportation
transit stop	services	taxi stand
transit stop	services	parking lot
road transportation system	mode of transport	car
road transportation system	mode of transport	truck
road transportation system	mode of transport	bus
road transportation system	mode of transport	motorcycle
road transportation system	mode of transport	bicycle
road transportation system	infrastructure	road
road transportation system	infrastructure	highway
road transportation system	infrastructure	freeway
road transportation system	infrastructure	traffic light
road transportation system	infrastructure	stop sign
road transportation system	operation	driving
road transportation system	operation	parking
road transportation system	operation	traffic management
road transportation system	operation	speed limit
road transportation system	operation	traffic enforcement
road transportation system	vehicle requirements	license
road transportation system	vehicle requirements	insurance
road transportation system	vehicle requirements	registration
road transportation system	vehicle requirements	vehicle inspection
road transportation system	vehicle requirements	maintenance
road transportation system	safety features	seatbelt
road transportation system	safety features	airbag
road transportation system	safety features	crash test
road transportation system	safety features	safety rating
road transportation system	safety features	speed limit enforcement
road transportation system	environmental impact	air pollution
road transportation system	environmental impact	noise pollution
road transportation system	environmental impact	greenhouse gas emissions
road transportation system	environmental impact	traffic congestion
road transportation system	environmental impact	parking space
dangerous goods	category	hazardous materials
dangerous goods	category	flammable
dangerous goods	category	toxic
dangerous goods	type	chemical
dangerous goods	type	explosive
dangerous goods	type	radioactive
dangerous goods	handling requirements	special care
dangerous goods	handling requirements	protective gear
dangerous goods	handling requirements	ventilation
dangerous goods	risks	fire
dangerous goods	risks	explosion
dangerous goods	risks	environmental damage
dangerous goods	storage requirements	separate area
dangerous goods	storage requirements	ventilated space
dangerous goods	storage requirements	secure container
dangerous goods	transportation regulations	special permits
dangerous goods	transportation regulations	trained personnel
dangerous goods	transportation regulations	safety protocols
ship compartment	function	storage
ship compartment	function	accommodation
ship compartment	function	engine room
ship compartment	size	large
ship compartment	size	small
ship compartment	location	lower deck
ship compartment	location	upper deck
ship compartment	location	midship
ship compartment	purpose	storing cargo
ship compartment	purpose	housing crew
ship compartment	purpose	housing passengers
ship compartment	features	doors
ship compartment	features	windows
ship compartment	features	lights
ship compartment	access	stairs
ship compartment	access	ladder
ship compartment	access	elevator
ship compartment	equipment	cranes
ship compartment	equipment	hoists
ship compartment	equipment	pipes
transit terminal	function	transportation hub
transit terminal	function	bus station
transit terminal	function	train station
transit terminal	function	airport
transit terminal	location	city
transit terminal	location	suburb
transit terminal	location	highway
transit terminal	location	airfield
transit terminal	facilities	ticket counter
transit terminal	facilities	waiting area
transit terminal	facilities	food court
transit terminal	facilities	restrooms
transit terminal	services	bus schedules
transit terminal	services	train schedules
transit terminal	services	flight information
transit terminal	services	parking
transit terminal	features	parking lot
transit terminal	features	food vendors
transit terminal	features	rest areas
transit terminal	features	information kiosk
transit terminal	environment	indoor
transit terminal	environment	outdoor
transit terminal	environment	urban
transit terminal	environment	rural
waterway junction	type	river
waterway junction	type	lake
waterway junction	type	canal
waterway junction	location	land
waterway junction	location	coast
waterway junction	location	city
waterway junction	function	connecting rivers
waterway junction	function	draining water
waterway junction	function	shipping route
waterway junction	features	locks
waterway junction	features	dams
waterway junction	features	bridges
waterway junction	importance	economic
waterway junction	importance	environmental
waterway junction	importance	recreational
waterway junction	example	mississippi river delta
waterway junction	example	port of rotterdam
waterway junction	example	suez canal
organizational process	goal	achieve efficiency
organizational process	goal	improve productivity
organizational process	structure	hierarchical
organizational process	structure	flat
organizational process	communication	clear
organizational process	communication	open
organizational process	roles and responsibilities	defined
organizational process	roles and responsibilities	clearly assigned
organizational process	task management	prioritized
organizational process	task management	tracked
organizational process	teamwork	collaborative
organizational process	teamwork	coordinated
organizational process	time management	timely
organizational process	time management	efficient
organizational process	resource allocation	effective
organizational process	resource allocation	optimal
truck tractor	type	heavy-duty
truck tractor	type	large
truck tractor	type	powerful
truck tractor	purpose	hauling heavy loads
truck tractor	purpose	transporting goods
truck tractor	characteristics	big wheels
truck tractor	characteristics	strong engine
truck tractor	characteristics	large cab
truck tractor	features	air brakes
truck tractor	features	dual tires
truck tractor	features	crane attachment
truck tractor	used for	long-distance hauling
truck tractor	used for	construction work
truck tractor	used for	logging
truck tractor	industry	trucking
truck tractor	industry	construction
truck tractor	industry	logging
traffic light	function	regulating traffic flow
traffic light	function	indicating when to stop
traffic light	function	indicating when to go
traffic light	color	red
traffic light	color	yellow
traffic light	color	green
traffic light	location	road
traffic light	location	intersection
traffic light	location	highway
traffic light	operation	electricity powered
traffic light	operation	manual control
traffic light	operation	automated
traffic light	safety	preventing accidents
traffic light	safety	reducing congestion
traffic light	safety	improving traffic flow
traffic light	regulation	government regulated
traffic light	regulation	standardized across cities
traffic light	regulation	varies by country
rail transportation system	purpose	moving people
rail transportation system	purpose	moving goods
rail transportation system	type	commuter rail
rail transportation system	type	freight rail
rail transportation system	type	high-speed rail
rail transportation system	infrastructure	tracks
rail transportation system	infrastructure	stations
rail transportation system	infrastructure	tunnels
rail transportation system	infrastructure	bridges
rail transportation system	operation	electricity
rail transportation system	operation	diesel
rail transportation system	operation	hybrid
rail transportation system	speed	high-speed
rail transportation system	speed	medium-speed
rail transportation system	speed	low-speed
rail transportation system	safety	secure
rail transportation system	safety	regulated
rail transportation system	safety	monitored
rail transportation system	environmental impact	low carbon footprint
rail transportation system	environmental impact	reduced air pollution
rail transportation system	cost	affordable
rail transportation system	cost	expensive
rail transportation system	cost	cost-effective
railroad track	function	transportation
railroad track	function	moving goods
railroad track	function	moving people
railroad track	structure	steel
railroad track	structure	rails
railroad track	structure	ties
railroad track	shape	long
railroad track	shape	straight
railroad track	shape	curved
railroad track	location	ground
railroad track	location	outdoors
railroad track	location	industrial area
railroad track	component	rail
railroad track	component	tie
railroad track	component	ballast
railroad track	maintenance	regular inspection
railroad track	maintenance	repair
railroad track	maintenance	replacement
railroad track	history	developed in 19th century
railroad track	history	important for industrialization
railroad track	history	used for freight and passenger transport
passenger ship	type	cruise ship
passenger ship	type	ferry
passenger ship	type	ocean liner
passenger ship	size	large
passenger ship	size	medium
passenger ship	size	small
passenger ship	speed	fast
passenger ship	speed	medium
passenger ship	speed	slow
passenger ship	purpose	recreation
passenger ship	purpose	transportation
passenger ship	purpose	commerce
passenger ship	features	cabin
passenger ship	features	restaurant
passenger ship	features	pool
passenger ship	features	gym
passenger ship	location	ocean
passenger ship	location	harbor
passenger ship	location	port
passenger ship	mode of operation	sail
passenger ship	mode of operation	motor
passenger ship	mode of operation	hybrid
deck cargo	type	shipping
deck cargo	type	transportation
deck cargo	type	freight
deck cargo	mode	by sea
deck cargo	mode	by land
deck cargo	mode	by air
deck cargo	container	containerized
deck cargo	container	loose
deck cargo	container	stacked
deck cargo	handling	careful
deck cargo	handling	delicate
deck cargo	handling	heavy
deck cargo	risk	damage
deck cargo	risk	loss
deck cargo	risk	delay
deck cargo	purpose	business
deck cargo	purpose	trade
deck cargo	purpose	commerce
deck cargo	storage	warehouse
deck cargo	storage	port
deck cargo	storage	container yard
jet engine	function	generates thrust
jet engine	function	powers aircraft
jet engine	component	turbine
jet engine	component	compressor
jet engine	component	nozzle
jet engine	fuel type	jet fuel
jet engine	fuel type	kerosene
jet engine	efficiency	highly efficient
jet engine	efficiency	energy conversion
jet engine	size	large
jet engine	size	small
jet engine	used in	aircraft
jet engine	used in	spacecraft
jet engine	used in	military equipment
jet engine	noise level	loud
jet engine	noise level	reduced
jet engine	maintenance	regular maintenance
jet engine	maintenance	complex repair
freighter	type	ocean
freighter	type	land
freighter	size	large
freighter	size	medium
freighter	size	small
freighter	purpose	transporting goods
freighter	purpose	carrying cargo
freighter	design	sturdy
freighter	design	strong
freighter	capacity	holding a lot
freighter	capacity	big load
freighter	used for	shipping goods
freighter	used for	carrying supplies
freighter	features	cranes
freighter	features	containers
freighter	features	storage space
hoisting device	type	crane
hoisting device	type	winch
hoisting device	type	pulley
hoisting device	type	gantry crane
hoisting device	function	lifting heavy loads
hoisting device	function	moving objects vertically
hoisting device	mechanism	cable and pulley
hoisting device	mechanism	hydraulic system
hoisting device	mechanism	electric motor
hoisting device	usage	construction site
hoisting device	usage	warehouse
hoisting device	usage	shipyard
hoisting device	usage	factory
hoisting device	safety feature	safety harness
hoisting device	safety feature	load limit
hoisting device	safety feature	braking system
hoisting device	component	cable
hoisting device	component	pulley wheel
hoisting device	component	motor
hoisting device	component	control system
scale test car	type	model
scale test car	type	prototype
scale test car	type	experimental
scale test car	purpose	testing aerodynamics
scale test car	purpose	evaluating performance
scale test car	purpose	researching fuel efficiency
scale test car	features	sensors
scale test car	features	data logging equipment
scale test car	features	customized engine
scale test car	size	small
scale test car	size	medium
scale test car	size	large
scale test car	materials	metal
scale test car	materials	composite
scale test car	materials	plastic
scale test car	used for	research and development
scale test car	used for	testing new technologies
scale test car	used for	evaluating environmental impact
outfit car	type	automobile
outfit car	type	vehicle
outfit car	type	car
outfit car	purpose	transportation
outfit car	purpose	daily commute
outfit car	purpose	road trip
outfit car	features	four wheels
outfit car	features	engine
outfit car	features	brakes
outfit car	design	sleek
outfit car	design	curvy
outfit car	design	boxy
outfit car	materials	metal
outfit car	materials	plastic
outfit car	materials	fabric
outfit car	location	parking lot
outfit car	location	driveway
outfit car	location	highway
outfit car	ownership	owned
outfit car	ownership	leased
outfit car	ownership	borrowed
mode of transit	type	car
mode of transit	type	bus
mode of transit	type	train
mode of transit	type	plane
mode of transit	type	bike
mode of transit	type	foot
mode of transit	type	ship
mode of transit	type	boat
mode of transit	speed	fast
mode of transit	speed	slow
mode of transit	speed	medium
mode of transit	route	fixed
mode of transit	route	flexible
mode of transit	purpose	commuting
mode of transit	purpose	recreation
mode of transit	purpose	business
mode of transit	purpose	tourism
mode of transit	capacity	many
mode of transit	capacity	few
mode of transit	capacity	single
mode of transit	environmental impact	high
mode of transit	environmental impact	low
mode of transit	environmental impact	neutral
single traffic lane	road feature	one-way
single traffic lane	road feature	unidirectional
single traffic lane	width	narrow
single traffic lane	width	limited
single traffic lane	usage	driving
single traffic lane	usage	parking
single traffic lane	usage	emergency vehicle
single traffic lane	regulation	speed limit
single traffic lane	regulation	lane marking
single traffic lane	regulation	traffic signal
single traffic lane	location	highway
single traffic lane	location	city street
single traffic lane	location	rural road
single traffic lane	function	separation
single traffic lane	function	direction
single traffic lane	function	flow control
light truck	type	utility vehicle
light truck	type	pickup truck
light truck	size	medium
light truck	size	large
light truck	weight capacity	heavy
light truck	weight capacity	light
light truck	engine type	gasoline
light truck	engine type	diesel
light truck	seating capacity	few
light truck	seating capacity	many
light truck	purpose	towing
light truck	purpose	hauling
light truck	purpose	off-road
light truck	features	four-wheel drive
light truck	features	lifted suspension
light truck	features	large bed
port embargo	type	economic
port embargo	type	military
port embargo	type	diplomatic
port embargo	purpose	to exert pressure
port embargo	purpose	to impose sanctions
port embargo	purpose	to protect interests
port embargo	effect	limiting trade
port embargo	effect	hurting economy
port embargo	effect	blocking supplies
port embargo	example	cuba
port embargo	example	iran
port embargo	example	north korea
port embargo	imposed by	government
port embargo	imposed by	international organization
port embargo	imposed by	coalition
port embargo	duration	short-term
port embargo	duration	long-term
port embargo	duration	permanent
port embargo	consequences	economic losses
port embargo	consequences	humanitarian crisis
port embargo	consequences	diplomatic tensions
container ship	size	large
container ship	size	long
container ship	size	heavy
container ship	function	transporting goods
container ship	function	shipping containers
container ship	speed	slow
container ship	speed	average
container ship	speed	fast
container ship	size of cargo	large containers
container ship	size of cargo	heavy loads
container ship	type of cargo	general cargo
container ship	type of cargo	refrigerated cargo
container ship	type of cargo	liquid cargo
container ship	used for	global trade
container ship	used for	international shipping
container ship	used for	logistics
